Quarter,number_Customers,Total_Transactions,Revenue,Profit
2016Q1,"2,943","3,683","396,436","189,057"
2016Q2,346,513,"50,273","25,206"
2016Q3,313,451,"42,766","21,340"
2016Q4,485,819,"85,326","42,460"
2017Q1,296,435,"43,846","21,120"
2017Q2,286,453,"39,754","19,535"
2017Q3,245,396,"37,096","17,969"
2017Q4,420,808,"83,985","40,290"
2018Q1,312,481,"43,483","20,033"
2018Q2,281,462,"37,489","17,456"
2018Q3,220,384,"33,204","15,242"
2018Q4,358,722,"66,416","31,397"
2019Q1,244,397,"35,367","16,513"
2019Q2,236,390,"34,235","16,088"
2019Q3,201,338,"27,356","12,792"
2019Q4,353,657,"62,674","29,583"
